title,label,description,detail,date
HybridDB for PostgreSQL - Definition of Instance Types Changed,New Features,"An AnalyticDB for PostgreSQL instance is now composed of multiple nodes instead of multiple computing groups. A node corresponds to only one data partition, which conforms to the standard of database clustering and simplifies the definition of instance types.","Target customers: data warehousing, big data, data analysis, and database users, and users in the government, finance, retail, and Internet industries.
Features released: an AnalyticDB for PostgreSQL instance is now composed of multiple nodes instead of multiple computing groups. This definition change simplifies the instance types in the massively parallel processing (MPP) architecture and conforms to the standard of database clustering. A node contains only one MPP data partition, which simplifies the selection and use of MPP clusters. A computing group may contain multiple MPP data partitions.",Aug 25 2019
ApsaraDB for Redis - Supports Changing the Connection Port in the Console,New Features,You can change the connection port in the ApsaraDB for Redis console.,"Target customers: all ApsaraDB for Redis users that do not want to use the default port and that require connection security.
Features released: ApsaraDB for Redis allows you to change the connection port in the console.",Sep 11 2019
Container Service for Kubernetes - Now Supports Super Computing Cluster (SCC),New Features,Alibaba Cloud Container Service for Kubernetes now allows you to create container clusters for SCC resources in the console.,"Target customers: AI companies and users who require high-performance computing.
Features released: You can now create container clusters for SCC resources in the console.",Aug 29 2019
"Container Service for Kubernetes - Available in Singapore, China (Hong Kong), and Australia (Sydney) Regions",New Zones\Regions,,"Alibaba Cloud Container Service for Kubernetes is now available in more regions, including Singapore, China (Hong Kong), and Australia (Sydney).",Aug 29 2019
Container Service for Kubernetes - Auto Scaling Now Supports Creating Multiple Scaling Groups,New Features,Auto Scaling now supports creating multiple scaling groups.,"Target customers: all users.
Features released: the Auto Scaling feature now supports multiple scaling groups for container clusters. This feature is suitable for users who need instances of different specifications for scaling.",Aug 29 2019
Blockchain as a Service - Hyperledger Fabric Now Integrated with CloudMonitor ,New Features,You can view the monitoring reports for Hyperledger Fabric consortia and organizations in CloudMonitor. You can configure alert rules for the running events and monitoring data.,"Target customers: users who use Hyperledger Fabric of Blockchain as a Service (BaaS).
Features released: BaaS Hyperledger Fabric is now integrated with CloudMonitor. You can view and monitor the running status of Hyperledger Fabric services in real time.",Aug 28 2019
Container Service for Kubernetes - APP Catalog Supports App Hub,New Features,APP Catalog now supports App Hub.,"Target customers: all users and developers.
Features released: In the Alibaba Cloud Container Service for Kubernetes console, you can now use App Hub on the App Catalog page. You can directly deploy applications of App Hub to container clusters.",Aug 29 2019
Container Service for Kubernetes - Supports Cluster Domain Customizations,New Features,You can now customize the cluster domain when you create a cluster.,"Target customers: customers that require customized domain names.
Features released: you can specify the default domain (cluster-domain) of the cluster when you create a cluster. You can use the domain for Kubernetes service discovery.",Aug 29 2019
Container Service for Kubernetes - Now Supports Multi-Zone Scheduling,New Features,Alibaba Cloud Container Service for Kubernetes now supports multi-zone scheduling for Auto Scaling.,"Target customers: all users.
Features released: Alibaba Cloud Container Service for Kubernetes now supports multi-zone scheduling policies for Auto Scaling. You can set your preferred multi-zone scheduling policy to one of the following: Priority, Cost Optimization, or Distribution Balancing.",Aug 29 2019
GameShield - GameShield Console V3.0 Released,Experience Enhancements,The GameShield console V3.0 is released. The new console allows you to create games with ease. The system completes initial configurations for game creation.,"The GameShield console V3.0 is released.
1. The UI framework is transformed. Games are displayed on the homepage.
2. You can enable GameShield and create games with ease. The system completes initial configurations for game creation.
3. Unlimited Protection is enabled by default. You can create games in the new console without complex configurations.",Sep 08 2019
Container Service for Kubernetes - Optimized Cluster Upgrade Features: Supports Process Control and Thorough Prechecks.,Experience Enhancements,Container Service for Kubernetes has optimized cluster upgrade features to provide more thorough prechecks and support for process control.,"Features released: users can perform a through precheck before the upgrade to see if all prerequisites are met for the upgrade to succeed. During the upgrade process, users can manually pause or resume the upgrade. Detailed logs about the upgrade are recorded for future reference.",Sep 28 2019
Container Service for Kubernetes - Multi-cluster Management: Supports Creating Ingresses and PVs,New Features,Container Service for Kubernetes now supports creating Ingresses and PVs to facilitate multi-cluster management.,"Target customers: multi-cloud users and hybrid cloud users.
Features released: after you integrate external clusters to Container Service, you can create Ingresses and PVs for these clusters through the console. This helps you centrally manage multiple clusters with ease.",Aug 29 2019
Blockchain as a Service - Alibaba Cloud BaaS VSCode Plug-in Released,New Features,The Alibaba Cloud BaaS VSCode plug-in allows users to directly manage contracts. This improves the user experience and the efficiency of contract development.,"Target customers: all Alibaba Cloud BaaS-Fabric users.
Feature released: you can use the Alibaba Cloud BaaS VSCode plug-in to complete the following tasks in contract development:
1. Submit a local smart contract to the cloud for a security scan.
2. Package the local Fabric chaincode and deploy it in the cloud.
3. Activate the Fabric chaincode (create an instance of the chaincode or upgrade the chaincode) in the cloud.
4. Manage Fabric organization users, including creating new users and changing user passwords.
5. Download the connection profile to a local disk.",Sep 24 2019
Alibaba Cloud CDN - Supports the IPv6 Protocol,New Features,"You can enable Internet Protocol version 6 (IPv6) in the CDN console. Afterward, you can use a client deployed an IPv6 network to send IPv6-based requests to the nearest CDN node that supports IPv6.","Target customers: customers that are using or going to use IPv6.
Features released: you can enable IPv6 in the CDN console.",Oct 07 2019
ApsaraDB for POLARDB - POLARDB for MySQL Supports Planned Failover (Primary/secondary Switchover),New Features,POLARDB for MySQL provides the planned failover (primary/secondary switchover) feature to help users perform failure tests.,"Target customers: ApsaraDB for POLARDB users who have high availability requirements and want to test the impact of a failover on the business.
Feature released: You can switch the primary node to a specified node. During the switchover, a disconnection will occur. However, you do not need to change the endpoint.
",Oct 13 2019
ApsaraDB for POLARDB - Supports Setting Failover Priority of Each Node,New Features,"You can set the failover priority for each node in the cluster. When the primary node fails, the available node with the highest priority will be elected as the new primary node.","Target customers: all ApsaraDB for POLARDB users.
Feature released: by default, the failover priority of a node is 1. You can set the value to any integer from 1 to 15. Changing the priority does not affect the normal use of the database, and the modification takes effect immediately.",Oct 13 2019
Threat Detection Service - Supports Custom Policies Against Brute-Force Attacks,New Features,Weak passwords can cause huge economic loss. Attackers typically launch brute-force attacks to decode your encrypted data. Security Center now allows you to customize protection policies to protect your data against brute-force attacks.,"Target customers: enterprise users whose data is stored in the cloud.
Features released: Security Center allows you to customize protection policies to protect you data against brute-force attacks. You can customize protection policies based on the priority of your assets.",Oct 23 2019
ApsaraDB for PostgreSQL - Provides dblink and postgres_fdw Features Based on Standard SSDs,New Features,ApsaraDB RDS for PostgreSQL based on standard SSDs provides the dblink and postgres_fdw features.,"Target customers: all PostgreSQL users.
Feature released: ApsaraDB RDS for PostgreSQL based on standard SSDs provides the dblink and postgres_fdw features.
With dblink, you can access other instances in the same VPC from a database instance.
With postgres_fdw, you can create external tables for other instances in the same VPC.",Oct 23 2019
ApsaraDB for PostgreSQL - ApsaraDB RDS for PostgreSQL 11 Released,New Features,ApsaraDB RDS for PostgreSQL 11 is globally released to greatly improve performance for processing complex SQL statements.,"Target customers: all PostgreSQL users.
Features released: ApsaraDB RDS for PostgreSQL 11 is released to support PostgreSQL 11.",Oct 23 2019
ApsaraDB for PostgreSQL - Supports Up to 32 TB of Storage,Experience Enhancements,ApsaraDB RDS for PostgreSQL based on enhanced SSDs can support up to 32 TB of storage to meet the needs of large storage.,"ApsaraDB RDS for PostgreSQL Basic Edition, High-availability Edition based on local SSDs, and High-availability Edition based on standard SSDs support up to 6 TB of storage. High-availability Edition based on enhanced SSDs supports up to 32 TB of storage.",Oct 23 2019
HybridDB for PostgreSQL - 25% Discount in China (Zhangjiakou-Beijing Winter Olympics),Pricing Updates,AnalyticDB for PostgreSQL instances of all specifications have a 25% discount in the China (Zhangjiakou-Beijing Winter Olympics) region.,"Product introduction: AnalyticDB for PostgreSQL (formerly known as HybridDB for PostgreSQL)?is developed based on Greenplum Open Source Database and has been enhanced by Alibaba Cloud. AnalyticDB for PostgreSQL supports the SQL:2003 standard edition and is compatible with the Oracle syntax. It supports online data analysis in all dimensions and high-performance offline data processing, providing competitive real-time warehouse solutions for PBs of data in all industries.
Price changes: AnalyticDB for PostgreSQL instances of all specifications have a 25% discount in the China (Zhangjiakou-Beijing Winter Olympics) region.",Oct 13 2019
Alibaba Cloud DNS - Supports Weighted Round-Robin for Resolution of IPv6 Addresses,New Features,Alibaba Cloud DNS allows you to resolve IPv6 addresses by using the weighted round-robin mechanism.,"Target customers: government and enterprise IPv6 users.
Features released: Alibaba Cloud DNS allows you to resolve IPv6 addresses by using the weighted round-robin mechanism.",Oct 11 2019
Data Transmission Service - Supports Data Synchronization from DRDS to AnalyticDB for MySQL 3.0 ,New Features,You can use DTS to synchronize data from DRDS to AnalyticDB for MySQL 3.0 in real time. This feature helps you build a real-time data warehouse for data analysis.,"Target customers: all customers.
Features released: You can use DTS to synchronize data from DRDS to AnalyticDB for MySQL 3.0 in real time. This feature helps you build a real-time data warehouse for data analysis.",Oct 09 2019
Alibaba Cloud DNS - Domain Name Detection Tool Released,New Features,"Alibaba Cloud DNS provides a domain name detection tool. You can use the tool to troubleshoot the following issues in domain name resolution: DNS cache poisoning, absence of website ICP filing, and domain names being blacklisted by the Ministry of Industry and Information Technology (MIIT).","Target customers: all customers.
Features released: Alibaba Cloud DNS provides a domain name detection tool. You can use the tool to troubleshoot the following issues in domain name resolution: DNS cache poisoning, absence of website ICP filing, and domain names being blacklisted by the Ministry of Industry and Information Technology (MIIT).",Oct 09 2019
ApsaraDB for PostgreSQL - Restriction on Relationship Between Storage and Instance Type Removed,Experience Enhancements,"ApsaraDB RDS for PostgreSQL has removed the restriction on the relationship between storage and instance type. Any amount of storage can be allocated to instances of any type, which lowers the costs of high storage and computing business.","Previously, the amount of storage that could be allocated to an instance was limited by the instance type. To meet larger capacity requirements, you would have to select an instance type with more storage space, which could result in surplus CPU. If you select an instance type to meet high computing requirements, business with low storage requirements would be left with surplus storage space.
This restriction has been removed and now any amount of storage can be allocated to any instance type, which lowers the costs of high storage and computing business.",Oct 23 2019
ApsaraDB for SQL Server - Available in Zones A and C of the China (Zhangjiakou-Beijing Winter Olympics) Region,New Zones\Regions,,ApsaraDB RDS for SQL Server has been available in zones A and C of the China (Zhangjiakou-Beijing Winter Olympics) region.,Oct 09 2019
Container Service for Kubernetes - Available in the China (Zhangjiakou) Region,New Zones\Regions,,Serverless Kubernetes is now available in the China (Zhangjiakou) region.,Oct 30 2019
Container Service for Kubernetes - Supports Aliyun Linux 2,New Features,Container Service for Kubernetes now supports the Aliyun linux 2 operating system.,"Target customers: users who have high demands for operating system kernels.
Features released: users can select the Aliyun Linux 2 operating system when they create clusters. This operating system provides an advanced kernel specifically optimized for containers and is suitable for use in container clusters.",Oct 30 2019
Container Service for Kubernetes - Supports GPU Nodes in Edge Clusters,New Features,Container Service for Kubernetes now supports adding GPU nodes to edge clusters.,"Target customers: users from AI and IoT industries.
Features released: users can add GPU nodes to edge clusters.",Oct 30 2019
Container Service for Kubernetes - Supports Auto Scaling of ENS Nodes in Edge Clusters,New Features,Container Service for Kubernetes now supports using API operations to configure automatic scaling of ENS nodes in edge clusters.,"Target customers: edge service providers, CDN providers, and IoT enterprises.
Features released: users can use API operations to configure automatic scaling of ENS nodes in edge clusters.",Oct 30 2019
Container Service for Kubernetes - Supports Custom SLB Instance Types,New Features,Container Service for Kubernetes now allows you to choose SLB instance types when you create services.,"Target customers: users who are concerned about the performance of SLB instances.
Features released: when users create a service of the Server Load Balancer type, they can select the SLB instance type based on needs to ensure the service performance.",Oct 30 2019
Container Service for Kubernetes - Supports Binding API Servers with EIPs,New Features,Container Service for Kubernetes now supports binding API servers with EIPs.,"Target customers: all users.
Features released: users can now bind an EIP to an SLB instance that is associated with a Kubernetes API server on the cluster management page. Users can also unbind the EIP from the SLB instance.",Oct 30 2019
Container Service for Kubernetes - Supports Revoking Access to Kubeconfig Files,New Features,Container Service for Kubernetes now allows you to revoke access to the kubeconfig file.,"Target customers: users who need to organize cluster access for multiple RAM users.
Features released: Alibaba Cloud account users can revoke access to the kubeconfig file or update the file based on needs. RAM users cannot access the cluster after their access to the kubeconfig file is revoked.",Oct 30 2019
Container Service for Kubernetes - Supports Ingress Dashboard,New Features,Container Service for Kubernetes now allows you to enable Ingress Dashboard when you create a cluster.,"Target customers: all users.
Features released: users can now choose to install Ingress controllers and enable Ingress Dashboard when they create a cluster.",Oct 30 2019
Website Threat Inspector - Supports Detecting the Remote Code Execution Vulnerability in ThinkCMF templateFile,New Features,Cloud Security Scanner now supports detecting the remote code execution vulnerability in ThinkCMF templateFile.,"Target customers: users who use the following ThinkCMF versions: X1.6.0, X2.1.0, X2.2.0, X2.2.1, and X2.2.2.
Features released: attackers can exploit the remote code execution vulnerability to infiltrate the internal network and retrieve sensitive information. We recommend that ThinkCMF users scan for this vulnerability as soon as possible.",Nov 05 2019
"ElasticSearch - Alibaba Cloud Elasticsearch, Logstash, and Kibana (ELK) Upgraded",New Features,"Alibaba Cloud Elasticsearch V7.4 and Logstash V7.4 are released. New features including Enhanced SSD (ESSD), Logstash pipeline management, and Object Storage Service (OSS) data transmission are supported.","Target customers: users with their workloads fully managed by Alibaba Cloud ELK, and users that use Alibaba Cloud ELK to process and analyze log data stored on the cloud.
Features released: 
1. Elasticsearch V7.4 and Logstash V7.4 are released.

2. Alibaba Cloud Elasticsearch now supports ESSDs. A single node supports up to 6 GB of ESSD storage space. ESSDs are used to support fast response and high throughput. Each ESSD can provide support for handling up to one million read and write requests per second. This also reduces the response time per node. ESSDs are mainly used in I/O intensive workloads and scenarios where low latency is essential.

3. You can now customize config settings from the Elasticsearch console for Logstash pipelines without the need to connect them to Elasticsearch instances first. This simplifies the procedure for creating, configuring, and deploying a pipeline.

4. Logstash now supports CloudMonitor and customizing alert rules. This enables you to monitor your workloads and perform operations and maintenance on the cloud.

5. An OSS input/output plug-in is added to Logstash for you to read and write data stored on Alibaba Cloud OSS.
",Nov 04 2019
Website Threat Inspector - Supports Detecting the Remote Code Execution Vulnerability in Apache Solr,New Features,Cloud Security Scanner now supports detecting the remote code execution vulnerability in Apache Solr Velocity templates.,"Target customers: Apache Solr users.
Features released: attackers can exploit the remote code execution vulnerabilities in Apache Solr Velocity templates to infiltrate the internal network and retrieve sensitive information. We recommend that Apache Solr users scan for this vulnerability as soon as possible.",Oct 31 2019
ApsaraDB for PostgreSQL - CloudDBA Released Based on Standard SSDs,New Features,"ApsaraDB RDS for PostgreSQL 10 based on standard SSDs has released the CloudDBA feature to enable intelligent optimization, problem diagnostics, SQL optimization, and diagnostic reports. The CloudDBA feature can help you quickly diagnose problems and optimize databases.","Target customers: all PostgreSQL users, especially those who do not have professional DBAs.
Features released: CloudDBA has been released to provide the following capabilities:
1. Intelligent optimization, which allows you to diagnose performance problems by analyzing active sessions, table and index scans, and use of temporary files.
2. Problem diagnostics, which allows you to diagnose large-grained problems by analyzing the CPU utilization, I/O usage, storage changes, and slow SQL queries.
3. SQL optimization, which allows you to format SQL statements and analyze execution plan problems.
4. Diagnostic reports, which allow you to analyze database problems from a macro perspective.",Oct 31 2019
CloudMonitor - Support Performance Metrics for Logstash,New Features,CloudMonitor supports performance metrics and alerts for Logstash. This allows CloudMonitor to report specified monitoring data and generate corresponding alerts.,"Target customers: users of Logstash.
Feature released: CloudMonitor supports performance metrics and alerts for Logstash. The following metrics are monitored for each node: the CPU usage, disk utilization, Java virtual machine (JVM) usage, and load average per minute. This allows you to learn the latest status of performance and efficiently troubleshoot the detected issues.",Oct 30 2019
E-HPC - Supports Auto Scaling for Film Rendering Clusters,New Features,"E-HPC supports the auto scaling of Deadline, a type of rendering management software. You can specify different auto scaling policies for rendering pools. You can also specify node hostnames.","Target customers: customers in film, television, and animation industries who need to use compute clusters for large-scale rendering.
Features released: 1. E-HPC supports the auto scaling of Deadline, a type of rendering management software. You can specify different auto scaling policies for rendering pools. This feature reduces your O&M costs.
2. E-HPC supports user-defined node hostnames to facilitate match with rendering projects and submitters. New nodes can be automatically added to the rendering clusters.",Oct 30 2019
E-HPC - Integrated with CloudDesktop,New Features,"After E-HPC is integrated with CloudDesktop, users can use cloud resources to perform HPC visualizations.","Target customers: customers who require industrial simulation and video rendering.
Features released: the E-HPC console is integrated with CloudDesktop.
Allows you to create and delete CloudDesktop instances.
Allows you to assign different RAM users to different CloudDesktop instances and control the access permissions of RAM users.
Allows you to mount Server Message Block (SMB) storage resources so that CloudDesktop can share data with the E-HPC clusters.",Nov 15 2019
ApsaraDB for POLARDB - Starter Edition Upgraded from 2-Core 4 GB to 2-Core 8 GB at the Same Price,New Features,"With technology optimization and hardware upgrades, the specification of ApsaraDB for POLARDB Starter Edition was upgraded from 2-Core 4 GB to 2-Core 8 GB. The price remains unchanged.","Target customers: new ApsaraDB for POLARDB users and trial users for testing and learning purposes.
Updates: the specification of Starter Edition was upgraded from 2-Core 4 GB (polar.mysql.x2.medium) to 2-Core 8 GB (polar.mysql.x4.medium).",Dec 12 2019
ApsaraDB for POLARDB - Supports Adding Security Groups for Whitelisting,New Features,You can add security groups to an ApsaraDB for POLARDB cluster for whitelisting. Only Elastic Compute Service (ECS) instances in security groups can connect to the cluster.,"Target customers: Auto Scaling users who are accustomed to using security groups for whitelisting.
Features released: after you create an ApsaraDB for POLARDB cluster, you must configure whitelisting settings for the cluster and create an initial account before you can connect to the cluster. In addition to the IP whitelist, you can also add security groups for whitelisting. An ECS security group is a virtual firewall that controls the inbound and outbound traffic of ECS instances in the security group. After an ECS security group is added, the ECS instances in the security group can connect to the ApsaraDB for POLARDB cluster.",Dec 04 2019
ApsaraDB for SQL Server - Dedicated Instance Family for Read-Only Instances Available on the Alibaba Cloud International Site,New Features,The dedicated instance family is released to support up to 64-core CPUs and 256-GB of memory capacity for read-only instances at the Alibaba Cloud international site.,"Target customers: users who use read/write splitting to handle large amounts of read requests but small amounts of write requests.
Features released: SQL Server 2017 EE now enables the dedicated instance family to support 4 GB or 8 GB of memory capacity per CPU core for read-only instances.",Dec 03 2019
"ApsaraDB for PostgreSQL - Basic Edition Supports ESSDs of PL1, PL2, and PL3",New Features,"The Basic Edition supports enhanced SSDs (ESSDs) of PL1, PL2, and PL3 to deliver up to 1 million input/output operations per second (IOPS), 4 Gbit/s bandwidth, and 32-TB storage capacity.","Target customers: all PostgreSQL users who:
1. Prefer cost-effectiveness and performance to high availability, such as feed, real-time tracking, and online analytical processing (OLAP) businesses where high availability is less crucial.
2. Require logical replication subscriptions dependent on slotting and streaming replication, and cannot afford slot information to be lost as a result of database restarts.
Features released: The Basic Edition used with PostgreSQL 10 and PostgreSQL 11 now supports ESSDs of PL1, PL2, and PL3. It delivers up to 1 million IOPS, 4 Gbit/s bandwidth, and 32-TB storage capacity.",Dec 02 2019
Hybrid Backup Recovery - Supports Proxy-free Full-copy Cloud Migration from VMware Virtual Machines,New Features,Hybrid Backup Recovery supports proxy-free full-copy cloud migration from VMware virtual machines.,"Target customers: users who need to migrate VMware virtual machines to Alibaba Cloud ECS instances, especially when the number of virtual machines is large and the traditional client-based migration method is inefficient.
Feature released: Hybrid Backup Recovery supports proxy-free full-copy cloud migration from VMware virtual machines. Hybrid Backup Recovery is a cloud backup and storage service, which is a proxy-free method that does not need to intrude into the system of the server to be migrated. It provides high performance at low costs and efficient migration service with a maximum deduplication ratio of 30:1. It ensures security by adopting AES-256 encryption and provides the reliability of up to sixteen nines.",Dec 01 2019
ApsaraDB for POLARDB - VIP and Node Name Columns Added to the Log Entries List of the SQL Explorer Module in the Console,Experience Enhancements,You can query the address from which an SQL statement originates and the node on which the SQL statement was executed to facilitate troubleshooting and analysis.,"In the ApsaraDB for POLARDB console, the VIP and Node Name columns were added to the Log Entries list in the SQL Explorer module.",Dec 01 2019
